rank,best_eligible,ineligible_reasons,run_id,dataset_id,dataset_id_source,provenance_complete,window_label,selection_window_start,selection_window_end,holdout_start,holdout_end,overall_sharpe_hac,overall_cagr,overall_maxdd_pct,overall_mar,overall_turnover,overall_trades,holdout_sharpe_hac,holdout_cagr,holdout_maxdd_pct,holdout_mar,holdout_turnover,holdout_trades,spa_p_value,reality_check_p_value,config_path,git_sha,artifact_dir,metrics_path,holdout_metrics_path,manifest_path,holdout_manifest_path,spa_path,reality_check_path
1,yes,,2026-02-16T22-33-46Z-8d90621,wrds_crsp_export_20251221_v1,config:wrds.dataset_id,yes,holdout-only,2013-01-02,2017-12-29,2018-01-02,2019-12-31,0.236204446852944,0.00717998821436061,5.31559404741939,0.135074050996169,15662901.66,66,0.587571596115633,0.00881654720092317,1.38269446550178,0.637635241978326,6123392.88,31,,0.940529735132434,configs/wfv_flagship_wrds_sweep35.yaml,8d906214609106197b7e5a9cfbf08a9a5f021380,artifacts/_local/20260216_223228_ticket-35_wrds-micro-sweep/wrds_flagship/2026-02-16T22-33-46Z-8d90621,artifacts/_local/20260216_223228_ticket-35_wrds-micro-sweep/wrds_flagship/2026-02-16T22-33-46Z-8d90621/metrics.json,artifacts/_local/20260216_223228_ticket-35_wrds-micro-sweep/wrds_flagship/2026-02-16T22-33-46Z-8d90621/holdout_metrics.json,artifacts/_local/20260216_223228_ticket-35_wrds-micro-sweep/wrds_flagship/2026-02-16T22-33-46Z-8d90621/manifest.json,artifacts/_local/20260216_223228_ticket-35_wrds-micro-sweep/wrds_flagship/2026-02-16T22-33-46Z-8d90621/holdout_manifest.json,,artifacts/_local/20260216_223228_ticket-35_wrds-micro-sweep/wrds_flagship/2026-02-16T22-33-46Z-8d90621/reality_check.json
2,yes,,2026-01-27T04-47-22Z-31fe553,wrds_crsp_export_20251221_v1,env:WRDS_DATASET_ID,yes,holdout-only,2013-01-02,2017-12-29,2018-01-02,2019-12-31,0.271805654570364,0.00717998821436061,3.40890193164794,0.210624663258929,14748925.21,64,0.139754527038527,0.00307453541645408,3.48623233588061,0.0881907779011368,5217706.87,26,0.015,1,configs/wfv_flagship_wrds.yaml,31fe55320b5bdf3fdea386de98e627ad15290d0c,artifacts/_local/20260127_044219_ticket-28_wrds-dataset-id/wrds_flagship/2026-01-27T04-47-22Z-31fe553,artifacts/_local/20260127_044219_ticket-28_wrds-dataset-id/wrds_flagship/2026-01-27T04-47-22Z-31fe553/metrics.json,artifacts/_local/20260127_044219_ticket-28_wrds-dataset-id/wrds_flagship/2026-01-27T04-47-22Z-31fe553/holdout_metrics.json,artifacts/_local/20260127_044219_ticket-28_wrds-dataset-id/wrds_flagship/2026-01-27T04-47-22Z-31fe553/manifest.json,artifacts/_local/20260127_044219_ticket-28_wrds-dataset-id/wrds_flagship/2026-01-27T04-47-22Z-31fe553/holdout_manifest.json,artifacts/_local/20260127_044219_ticket-28_wrds-dataset-id/wrds_flagship/2026-01-27T04-47-22Z-31fe553/spa.json,artifacts/_local/20260127_044219_ticket-28_wrds-dataset-id/wrds_flagship/2026-01-27T04-47-22Z-31fe553/reality_check.json
3,no,missing_dataset_id,2026-01-25T22-58-24Z-4d08d18,,,no,holdout-only,2013-01-02,2017-12-29,2018-01-02,2019-12-31,0.271805654570364,0.00717998821436061,3.40890193164794,0.210624663258929,14748925.21,64,0.139754527038527,0.00307453541645408,3.48623233588061,0.0881907779011368,5217706.87,26,0.015,1,configs/wfv_flagship_wrds.yaml,4d08d18202a411cd831efce739cd5cb37e6deb1e,artifacts/wrds_flagship/2026-01-25T22-58-24Z-4d08d18,artifacts/wrds_flagship/2026-01-25T22-58-24Z-4d08d18/metrics.json,artifacts/wrds_flagship/2026-01-25T22-58-24Z-4d08d18/holdout_metrics.json,artifacts/wrds_flagship/2026-01-25T22-58-24Z-4d08d18/manifest.json,artifacts/wrds_flagship/2026-01-25T22-58-24Z-4d08d18/holdout_manifest.json,artifacts/wrds_flagship/2026-01-25T22-58-24Z-4d08d18/spa.json,artifacts/wrds_flagship/2026-01-25T22-58-24Z-4d08d18/reality_check.json
4,no,missing_dataset_id,2026-01-26T01-22-23Z-e76eb4d,,,no,holdout-only,2013-01-02,2017-12-29,2018-01-02,2019-12-31,0.271805654570364,0.00717998821436061,3.40890193164794,0.210624663258929,14748925.21,64,0.139754527038527,0.00307453541645408,3.48623233588061,0.0881907779011368,5217706.87,26,0.015,1,configs/wfv_flagship_wrds.yaml,e76eb4d576ccbbe4c9af89e8eb9142ea6858a56d,artifacts/wrds_flagship/2026-01-26T01-22-23Z-e76eb4d,artifacts/wrds_flagship/2026-01-26T01-22-23Z-e76eb4d/metrics.json,artifacts/wrds_flagship/2026-01-26T01-22-23Z-e76eb4d/holdout_metrics.json,artifacts/wrds_flagship/2026-01-26T01-22-23Z-e76eb4d/manifest.json,artifacts/wrds_flagship/2026-01-26T01-22-23Z-e76eb4d/holdout_manifest.json,artifacts/wrds_flagship/2026-01-26T01-22-23Z-e76eb4d/spa.json,artifacts/wrds_flagship/2026-01-26T01-22-23Z-e76eb4d/reality_check.json
5,no,missing_dataset_id|missing_holdout_trades,2025-12-21T22-32-44Z-2b48ef7,,,no,holdout-only,2005-01-03,2020-12-31,2021-01-04,2024-12-31,0,0,0,0,0,0,0,,0,,0,,,1,/Users/mateobodon/Documents/Programming/Projects/microalpha/configs/wfv_flagship_wrds.yaml,2b48ef75f24acdb206db20d9f5a2681366ac5afa,artifacts/wrds_flagship/2025-12-21T22-32-44Z-2b48ef7,artifacts/wrds_flagship/2025-12-21T22-32-44Z-2b48ef7/metrics.json,artifacts/wrds_flagship/2025-12-21T22-32-44Z-2b48ef7/holdout_metrics.json,artifacts/wrds_flagship/2025-12-21T22-32-44Z-2b48ef7/manifest.json,artifacts/wrds_flagship/2025-12-21T22-32-44Z-2b48ef7/holdout_manifest.json,artifacts/wrds_flagship/2025-12-21T22-32-44Z-2b48ef7/spa.json,artifacts/wrds_flagship/2025-12-21T22-32-44Z-2b48ef7/reality_check.json
6,no,missing_dataset_id|holdout_trades_lt_20,2025-12-23T19-40-24Z-ff2979d,,,no,holdout-only,2005-01-03,2020-12-31,2021-01-04,2024-12-31,0,0,0,0,0,0,0,,0,,0,0,,1,/Users/mateobodon/Documents/Programming/Projects/microalpha/configs/wfv_flagship_wrds.yaml,ff2979dc021bca4fa513d0f41d290715587ffa37,artifacts/wrds_flagship/2025-12-23T19-40-24Z-ff2979d,artifacts/wrds_flagship/2025-12-23T19-40-24Z-ff2979d/metrics.json,artifacts/wrds_flagship/2025-12-23T19-40-24Z-ff2979d/holdout_metrics.json,artifacts/wrds_flagship/2025-12-23T19-40-24Z-ff2979d/manifest.json,artifacts/wrds_flagship/2025-12-23T19-40-24Z-ff2979d/holdout_manifest.json,artifacts/wrds_flagship/2025-12-23T19-40-24Z-ff2979d/spa.json,artifacts/wrds_flagship/2025-12-23T19-40-24Z-ff2979d/reality_check.json
7,no,missing_dataset_id|holdout_trades_lt_20,2025-12-26T17-21-39Z-75ce3c8,,,no,holdout-only,2005-01-03,2020-12-31,2021-01-04,2024-12-31,0.031607706571562,0.00045001206775952,8.33320687998004,0.00540022675832809,32836266.7237,138,0,,0,,0,0,0.031,0.999500249875062,/Users/mateobodon/Documents/Programming/Projects/microalpha/configs/wfv_flagship_wrds.yaml,75ce3c83b152564d4e9fc3291ba78d753fa5a39f,artifacts/wrds_flagship/2025-12-26T17-21-39Z-75ce3c8,artifacts/wrds_flagship/2025-12-26T17-21-39Z-75ce3c8/metrics.json,artifacts/wrds_flagship/2025-12-26T17-21-39Z-75ce3c8/holdout_metrics.json,artifacts/wrds_flagship/2025-12-26T17-21-39Z-75ce3c8/manifest.json,artifacts/wrds_flagship/2025-12-26T17-21-39Z-75ce3c8/holdout_manifest.json,artifacts/wrds_flagship/2025-12-26T17-21-39Z-75ce3c8/spa.json,artifacts/wrds_flagship/2025-12-26T17-21-39Z-75ce3c8/reality_check.json
8,no,missing_dataset_id|holdout_trades_lt_20,2026-01-25T21-01-51Z-4d08d18,,,no,holdout-only,2005-01-03,2020-12-31,2021-01-04,2024-12-31,0.031607706571562,0.00045001206775952,8.33320687998004,0.00540022675832809,32836266.7237,138,0,,0,,0,0,0.015,0.999500249875062,configs/wfv_flagship_wrds.yaml,4d08d18202a411cd831efce739cd5cb37e6deb1e,artifacts/wrds_flagship/2026-01-25T21-01-51Z-4d08d18,artifacts/wrds_flagship/2026-01-25T21-01-51Z-4d08d18/metrics.json,artifacts/wrds_flagship/2026-01-25T21-01-51Z-4d08d18/holdout_metrics.json,artifacts/wrds_flagship/2026-01-25T21-01-51Z-4d08d18/manifest.json,artifacts/wrds_flagship/2026-01-25T21-01-51Z-4d08d18/holdout_manifest.json,artifacts/wrds_flagship/2026-01-25T21-01-51Z-4d08d18/spa.json,artifacts/wrds_flagship/2026-01-25T21-01-51Z-4d08d18/reality_check.json
9,no,missing_dataset_id|missing_holdout_sharpe|missing_holdout_trades|missing_holdout_maxdd,2025-11-12T18-50-58Z-b2eaf50,,,no,overall-wfv-oos,,,,,0.455204147490337,-0.012539752694957,93.2015005426808,-0.013454453653581,2229998821.1521,0,,,,,,,0.454,0.894254787676936,/Users/mateobodon/Documents/Programming/Projects/microalpha/configs/wfv_flagship_wrds.yaml,b2eaf5082bce0aa12d66c0a2e22aa3e2150f035c,artifacts/wrds_flagship/2025-11-12T18-50-58Z-b2eaf50,artifacts/wrds_flagship/2025-11-12T18-50-58Z-b2eaf50/metrics.json,,artifacts/wrds_flagship/2025-11-12T18-50-58Z-b2eaf50/manifest.json,,artifacts/wrds_flagship/2025-11-12T18-50-58Z-b2eaf50/spa.json,artifacts/wrds_flagship/2025-11-12T18-50-58Z-b2eaf50/reality_check.json
10,no,missing_dataset_id|missing_holdout_sharpe|missing_holdout_trades|missing_holdout_maxdd,2025-11-21T00-28-22Z-54912a8,,,no,overall-wfv-oos,,,,,0.397648961791944,0.0330717580573139,82.3460113484177,0.0401619428989494,1837084905.02328,0,,,,,,,0.603,0.987006496751624,/Users/mateobodon/Documents/Programming/Projects/microalpha/configs/wfv_flagship_wrds.yaml,54912a86b15c0f96e7c2f81c2d965235403a1082,artifacts/wrds_flagship/2025-11-21T00-28-22Z-54912a8,artifacts/wrds_flagship/2025-11-21T00-28-22Z-54912a8/metrics.json,,artifacts/wrds_flagship/2025-11-21T00-28-22Z-54912a8/manifest.json,,artifacts/wrds_flagship/2025-11-21T00-28-22Z-54912a8/spa.json,artifacts/wrds_flagship/2025-11-21T00-28-22Z-54912a8/reality_check.json
11,no,missing_dataset_id|missing_holdout_sharpe|missing_holdout_trades|missing_holdout_maxdd,2025-11-22T00-21-14Z-c792b44,,,no,overall-wfv-oos,,,,,0.057433663005567,-0.053875864992076,40.2450030912048,-0.133869700220871,359987357.88969,0,,,,,,,,0.792415169660679,/Users/mateobodon/Documents/Programming/Projects/microalpha/configs/wfv_flagship_wrds_smoke.yaml,c792b44c86d8603501821f5a23f3ab9aa54068b3,artifacts/wrds_flagship/2025-11-22T00-21-14Z-c792b44,artifacts/wrds_flagship/2025-11-22T00-21-14Z-c792b44/metrics.json,,artifacts/wrds_flagship/2025-11-22T00-21-14Z-c792b44/manifest.json,,,artifacts/wrds_flagship/2025-11-22T00-21-14Z-c792b44/reality_check.json
12,no,missing_dataset_id|missing_holdout_sharpe|missing_holdout_trades|missing_holdout_maxdd,2025-12-26T06-20-30Z-364496b,,,no,overall-wfv-oos,2005-01-03,2020-12-31,2021-01-04,2024-12-31,0,,0,,0,0,,,,,,,,,/Users/mateobodon/Documents/Programming/Projects/microalpha/configs/wfv_flagship_wrds.yaml,364496bfb456acf2e8930b6feb8183169cc071dd,artifacts/wrds_flagship/2025-12-26T06-20-30Z-364496b,artifacts/wrds_flagship/2025-12-26T06-20-30Z-364496b/metrics.json,,artifacts/wrds_flagship/2025-12-26T06-20-30Z-364496b/manifest.json,,,
